"lhs","op","rhs","block","group","label.x","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","label.y","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"iplylfr_r","~1","","Netherlands",9,".p15.",5.114,0.0202368439501724,252.688485447536,0,5.0739539627041,5.15328093331029,".p15.",5.256,0.0168331722318731,312.225861052608,0,5.22275928302339,5.28874410566345
"ipeqopt_r","~1","","Netherlands",9,".p16.",4.793,0.0213526151768782,224.48100676568,0,4.75140619526334,4.83510690870819,".p16.",4.928,0.0179134163745963,275.083095621639,0,4.89256837854902,4.96278768041758
"ipudrst_r","~1","","Netherlands",9,".p17.",4.629,0.0228184626267529,202.874635836837,0,4.58456393082798,4.67401066068999,".p17.",4.772,0.0199661494551391,238.99204768332,0,4.73261800879288,4.81088387647691
"impenv_r","~1","","Netherlands",9,".p18.",4.843,0.020447782196205,236.843033432203,0,4.80283784564191,4.88299167897847,".p18.",5.108,0.0175901696862415,290.367812104911,0,5.07314298728109,5.14209518541506
"Benev","~1","","Netherlands",9,"",NA,0.0297067854369694,0.887416316396886,0.374854802130864,-0.031861943448451,0.0845865156573872,"",-0.113,0.0251496395819585,-4.49887834449019,6.83129338896471e-06,-0.162437556691808,-0.0638527810822049
"Unive","~1","","Netherlands",9,"",0.091,0.0265871603044553,3.43283440714885,0.000597306783621798,0.0391594420335909,0.143379195329442,"",-0.057,0.0226831154020406,-2.52136582993148,0.0116900246763683,-0.101650521336263,-0.0127343428459322
"Benev","=~","iphlppl_r","Norway",10,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Benev","=~","iplylfr_r","Norway",10,".p2.",0.862,0.0136103318005572,63.3673732108657,0,0.835775214582893,0.889126734876357,".p2.",0.883,0.01317319860059,67.02073984456,0,0.857058521512515,0.908696511149215
"Unive","=~","ipeqopt_r","Norway",10,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Unive","=~","ipudrst_r","Norway",10,".p4.",1.08,0.0204775822701508,52.7385860900558,0,1.0398234117306,1.1200940592105,".p4.",1.131,0.0208663609263025,54.1889305020471,0,1.08982846616207,1.17162309797
"Unive","=~","impenv_r","Norway",10,".p5.",0.951,0.0192213744019469,49.490230099638,0,0.913597040422467,0.988943443544819,".p5.",1.003,0.0195562210628974,51.3059374028638,0,0.965020764732597,1.04167974264656
