"lhs","op","rhs","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"Benev","=~","iphlppl_r",1,0,NA,NA,1,1,1,0,NA,NA,1,1
"Benev","=~","iplylfr_r",0.815481543760558,0.0150730913052125,54.101811449822,0,0.785938827666658,0.845024259854459,0.826659080113607,0.0136714486058352,60.466092800201,0,0.799863533229679,0.853454626997534
"Unive","=~","impenv_r",1,0,NA,NA,1,1,1,0,NA,NA,1,1
"Unive","=~","ipeqopt_r",1.09849355699084,0.0256580299563782,42.812856593371,0,1.04820474236209,1.14878237161959,1.05379983275613,0.0225226240844435,46.7885015886758,0,1.00965630071329,1.09794336479898
"Unive","=~","ipudrst_r",1.21859449647879,0.0253098924533455,48.1469646196664,0,1.16898801881765,1.26820097413993,1.20709237748282,0.0238765292733488,50.5556047808921,0,1.16029524003124,1.2538895149344
"STrasc","=~","Unive",1,0,NA,NA,1,1,1,0,NA,NA,1,1
"STrasc","=~","Benev",1.93335168650718,0.0795875606072364,24.2921339937562,0,1.7773629340996,2.08934043891476,1.7399407876538,0.0602696361186174,28.8692764666673,0,1.62181447149998,1.85806710380763
"STrasc","~","agea",-0.000515518978872344,0.000172793683451856,-2.98343648085943,0.00285031191803542,-0.000854188375193996,-0.000176849582550691,-0.000604659974482604,0.000170942990232364,-3.53720251213978,0.000404389464828236,-0.000939702078747619,-0.000269617870217589
"STrasc","~","gndrD",0.12025551944988,0.00782879799621286,15.3606619442797,0,0.104911357335064,0.135599681564697,0.127314937623347,0.00727579018494813,17.4984344500108,0,0.113054650901779,0.141575224344915
"STrasc","~","eisced2",0.0365986839876417,0.00767894765781762,4.76610671390397,1.87819808528111e-06,0.021548223139151,0.0516491448361324,0.0288896972497787,0.00755102686824887,3.82592960584689,0.000130279517455145,0.0140899565417166,0.0436894379578407
"STrasc","~","eisced3",0.0663452724547095,0.00788880701020917,8.41005140179622,0,0.0508834948337124,0.0818070500757066,0.0559164748243364,0.00791776542154862,7.06215350509839,1.63935531816151e-12,0.0403979397600645,0.0714350098886083
"STrasc","~","domicil2",0.00590164167589532,0.00718497307270632,0.82138674928567,0.411426008801047,-0.00818064677649915,0.0199839301282898,0.00163134622978836,0.00747562798002359,0.218221965318184,0.827256171619979,-0.0130206153728778,0.0162833078324545
"STrasc","~","domicil3",-0.0434099884601419,0.0106158823823024,-4.0891549940785,4.32947496933345e-05,-0.064216735593568,-0.0226032413267159,0.0334298492792796,0.010550904293698,3.16843451032411,0.0015326227387511,0.0127504568593025,0.0541092416992568
"STrasc","~","domicil4",-0.0392443881004288,0.0100469307049861,-3.90610717370158,9.37949243804415e-05,-0.0589360104373712,-0.0195527657634865,-0.00187828867706168,0.00918105935288152,-0.204583001249433,0.837897937532947,-0.0198728343486341,0.0161162569945107
"STrasc","~","HDI",2.85651279751267,0.154463871473407,18.4930804223981,0,2.55376917251217,3.15925642251317,3.92395934569095,0.166132519563392,23.6194536506362,0,3.59834559068581,4.2495731006961
"iphlppl_r","~~","iphlppl_r",0.462899996754191,0.0101939864891118,45.4091240211682,0,0.442920150376644,0.482879843131738,0.472102113504089,0.00960645825587797,49.1442424386969,0,0.45327380130358,0.490930425704597
"iplylfr_r","~~","iplylfr_r",0.474443454298916,0.00911662099045188,52.0415902773424,0,0.456575205496928,0.492311703100904,0.456479749971667,0.00845002494779184,54.0211126939873,0,0.43991800540553,0.473041494537804
"impenv_r","~~","impenv_r",0.774792352518283,0.0128271741255068,60.4024194992107,0,0.749651553208866,0.799933151827701,0.700716821686017,0.0105869071724774,66.1871130321855,0,0.679966864920292,0.721466778451741
"ipeqopt_r","~~","ipeqopt_r",0.796792670584235,0.0135746436798642,58.6971333742006,0,0.770186857868737,0.823398483299733,0.801259845602135,0.012328990666323,64.9898979801158,0,0.777095467930411,0.825424223273858
"ipudrst_r","~~","ipudrst_r",0.656481280738246,0.0121521784891613,54.0216950667546,0,0.632663448565788,0.680299112910705,0.66059139820715,0.0113852315820242,58.0217796579685,0,0.638276754350734,0.682906042063565
"Benev","~~","Benev",-0.161404217178594,0.0255863970099992,-6.30820420380086,2.8229152349013e-10,-0.211552633812336,-0.111255800544853,-0.109401735888075,0.018274351634644,-5.98662749165196,2.14236672846368e-09,-0.145218806932797,-0.0735846648433517
"Unive","~~","Unive",0.113422678929418,0.00831764369308106,13.636395488276,0,0.097120396854742,0.129724961004093,0.08641507725111,0.00715435819281722,12.0786623932065,0,0.0723927928606892,0.100437361641531
"STrasc","~~","STrasc",0.168170183332581,0.00863932864777303,19.4656541253273,0,0.151237410332341,0.185102956332822,0.175702467577547,0.00812022551947537,21.6376339740991,0,0.159787118013032,0.191617817142062
"agea","~~","agea",342.714177968322,0,NA,NA,342.714177968322,342.714177968322,351.202509526293,0,NA,NA,351.202509526293,351.202509526293
"agea","~~","gndrD",0.351438618615423,0,NA,NA,0.351438618615423,0.351438618615423,0.375333627332443,0,NA,NA,0.375333627332443,0.375333627332443
"agea","~~","eisced2",-0.864159216036989,0,NA,NA,-0.864159216036989,-0.864159216036989,-0.705618631460516,0,NA,NA,-0.705618631460516,-0.705618631460516
"agea","~~","eisced3",-0.599619043592662,0,NA,NA,-0.599619043592662,-0.599619043592662,-0.676604128269755,0,NA,NA,-0.676604128269755,-0.676604128269755
"agea","~~","domicil2",-0.113734574475641,0,NA,NA,-0.113734574475641,-0.113734574475641,-0.0246528195221261,0,NA,NA,-0.0246528195221261,-0.0246528195221261
"agea","~~","domicil3",0.0182951694302784,0,NA,NA,0.0182951694302784,0.0182951694302784,0.101189865450006,0,NA,NA,0.101189865450006,0.101189865450006
"agea","~~","domicil4",-0.380820048126202,0,NA,NA,-0.380820048126202,-0.380820048126202,-0.328067475990046,0,NA,NA,-0.328067475990046,-0.328067475990046
"agea","~~","HDI",0.0107497370499443,0,NA,NA,0.0107497370499443,0.0107497370499443,-0.00539184373278461,0,NA,NA,-0.00539184373278461,-0.00539184373278461
"gndrD","~~","gndrD",0.249559076162158,0,NA,NA,0.249559076162158,0.249559076162158,0.248896664563926,0,NA,NA,0.248896664563926,0.248896664563926
"gndrD","~~","eisced2",0.00160144796977872,0,NA,NA,0.00160144796977872,0.00160144796977872,0.00294677962622601,0,NA,NA,0.00294677962622601,0.00294677962622601
"gndrD","~~","eisced3",0.00182865905219024,0,NA,NA,0.00182865905219024,0.00182865905219024,0.00149020307513443,0,NA,NA,0.00149020307513443,0.00149020307513443
"gndrD","~~","domicil2",0.00484141009912364,0,NA,NA,0.00484141009912364,0.00484141009912364,0.0060283275328717,0,NA,NA,0.0060283275328717,0.0060283275328717
"gndrD","~~","domicil3",-0.00196291576272771,0,NA,NA,-0.00196291576272771,-0.00196291576272771,0.000392099785861642,0,NA,NA,0.000392099785861642,0.000392099785861642
"gndrD","~~","domicil4",0.000568749562126924,0,NA,NA,0.000568749562126924,0.000568749562126924,0.00115752322288804,0,NA,NA,0.00115752322288804,0.00115752322288804
"gndrD","~~","HDI",-0.00041434782621951,0,NA,NA,-0.00041434782621951,-0.00041434782621951,-0.000521068457892715,0,NA,NA,-0.000521068457892715,-0.000521068457892715
"eisced2","~~","eisced2",0.211749882231232,0,NA,NA,0.211749882231232,0.211749882231232,0.216187296555582,0,NA,NA,0.216187296555582,0.216187296555582
"eisced2","~~","eisced3",-0.068699423681042,0,NA,NA,-0.068699423681042,-0.068699423681042,-0.0752385022161423,0,NA,NA,-0.0752385022161423,-0.0752385022161423
"eisced2","~~","domicil2",0.00430509240630779,0,NA,NA,0.00430509240630779,0.00430509240630779,0.00607279816486452,0,NA,NA,0.00607279816486452,0.00607279816486452
"eisced2","~~","domicil3",-5.87884323043107e-07,0,NA,NA,-5.87884323043107e-07,-5.87884323043107e-07,-0.00175881472101151,0,NA,NA,-0.00175881472101151,-0.00175881472101151
"eisced2","~~","domicil4",0.00169980658076081,0,NA,NA,0.00169980658076081,0.00169980658076081,0.00391593784445786,0,NA,NA,0.00391593784445786,0.00391593784445786
"eisced2","~~","HDI",-0.00129077009875829,0,NA,NA,-0.00129077009875829,-0.00129077009875829,-0.00110908788883417,0,NA,NA,-0.00110908788883417,-0.00110908788883417
"eisced3","~~","eisced3",0.174743038098222,0,NA,NA,0.174743038098222,0.174743038098222,0.181359729218748,0,NA,NA,0.181359729218748,0.181359729218748
"eisced3","~~","domicil2",-0.00443036317962273,0,NA,NA,-0.00443036317962273,-0.00443036317962273,-0.00335074492856259,0,NA,NA,-0.00335074492856259,-0.00335074492856259
"eisced3","~~","domicil3",0.00753216835086281,0,NA,NA,0.00753216835086281,0.00753216835086281,0.0097764590134066,0,NA,NA,0.0097764590134066,0.0097764590134066
"eisced3","~~","domicil4",0.0175105003811523,0,NA,NA,0.0175105003811523,0.0175105003811523,0.0132112755899359,0,NA,NA,0.0132112755899359,0.0132112755899359
"eisced3","~~","HDI",0.00108456828642896,0,NA,NA,0.00108456828642896,0.00108456828642896,0.000924793981732771,0,NA,NA,0.000924793981732771,0.000924793981732771
"domicil2","~~","domicil2",0.219654181232389,0,NA,NA,0.219654181232389,0.219654181232389,0.216874852571877,0,NA,NA,0.216874852571877,0.216874852571877
"domicil2","~~","domicil3",-0.0346369428512176,0,NA,NA,-0.0346369428512176,-0.0346369428512176,-0.0363723377836409,0,NA,NA,-0.0363723377836409,-0.0363723377836409
"domicil2","~~","domicil4",-0.0555536795460568,0,NA,NA,-0.0555536795460568,-0.0555536795460568,-0.0564017896481356,0,NA,NA,-0.0564017896481356,-0.0564017896481356
"domicil2","~~","HDI",-1.24638652794985e-05,0,NA,NA,-1.24638652794985e-05,-1.24638652794985e-05,-0.000207842634683919,0,NA,NA,-0.000207842634683919,-0.000207842634683919
"domicil3","~~","domicil3",0.0950109085471566,0,NA,NA,0.0950109085471566,0.0950109085471566,0.101296624190184,0,NA,NA,0.101296624190184,0.101296624190184
"domicil3","~~","domicil4",-0.0181280186243346,0,NA,NA,-0.0181280186243346,-0.0181280186243346,-0.0202869525073001,0,NA,NA,-0.0202869525073001,-0.0202869525073001
"domicil3","~~","HDI",0.000924392057975403,0,NA,NA,0.000924392057975403,0.000924392057975403,0.000896380004533825,0,NA,NA,0.000896380004533825,0.000896380004533825
"domicil4","~~","domicil4",0.141439346869837,0,NA,NA,0.141439346869837,0.141439346869837,0.145906880731369,0,NA,NA,0.145906880731369,0.145906880731369
"domicil4","~~","HDI",-0.00100585859222286,0,NA,NA,-0.00100585859222286,-0.00100585859222286,-0.00106815129701968,0,NA,NA,-0.00106815129701968,-0.00106815129701968
"HDI","~~","HDI",0.000696089819763737,0,NA,NA,0.000696089819763737,0.000696089819763737,0.000610158034806619,0,NA,NA,0.000610158034806619,0.000610158034806619
"iphlppl_r","~1","",-0.314370936597871,0.198937322984309,-1.58025116595475,0.114049358472707,-0.704280924827928,0.0755390516321858,-1.49258879093247,0.206549233854442,-7.22630998469023,4.96269692007445e-13,-1.89741785032152,-1.08775973154342
"iplylfr_r","~1","",0.886781529192903,0.16999846755189,5.21640895922914,1.82425173189671e-07,0.553590655364198,1.21997240302161,-0.133434955691619,0.173305481009903,-0.769940771140378,0.44133502742467,-0.473107456794418,0.206237545411181
