"lhs","op","rhs","block","level","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y","rhs1"
"domicil2","~~","domicil4",1,1,NA,0,NA,NA,-0.0528408734841341,-0.0528408734841341,NA,0,NA,NA,-0.0548642542868082,-0.0548642542868082,"Domicile (A big city/Countryside)"
"domicil3","~~","domicil3",1,1,NA,0,NA,NA,0.0943349349810233,0.0943349349810233,NA,0,NA,NA,0.101153851087436,0.101153851087436,"Domicile (Suburbs or outskirts of big city/Countryside)"
"domicil3","~~","domicil4",1,1,NA,0,NA,NA,-0.0176197424608436,-0.0176197424608436,NA,0,NA,NA,-0.019907022788062,-0.019907022788062,"Domicile (A big city/Countryside)"
"domicil4","~~","domicil4",1,1,NA,0,NA,NA,0.139165375610003,0.139165375610003,NA,0,NA,NA,0.143936515708599,0.143936515708599,"Domicile (A big city/Countryside)"
"iphlppl_r","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"iplylfr_r","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"ipeqopt_r","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"ipudrst_r","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"impenv_r","~1","",1,1,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,""
"agea","~1","",1,1,NA,0,NA,NA,48.9217868912486,48.9217868912486,NA,0,NA,NA,49.9281809613572,49.9281809613572,""
"gndrD","~1","",1,1,NA,0,NA,NA,0.517209813255218,0.517209813255218,NA,0,NA,NA,0.526710650329878,0.526710650329878,""
"eisced2","~1","",1,1,NA,0,NA,NA,0.310179421457342,0.310179421457342,NA,0,NA,NA,0.319547596606975,0.319547596606975,""
"eisced3","~1","",1,1,NA,0,NA,NA,0.230318564628341,0.230318564628341,NA,0,NA,NA,0.243355325164939,0.243355325164939,""
